incident_type,feature,feature_readable,coefficient,direction,abs_coefficient
Altercation,vital_weight_last_90d,Vital (weight last 90d),0.15356777809699934,increases_risk,0.15356777809699934
Altercation,vital_weight_last_30d,Vital (weight last 30d),0.14922367896720637,increases_risk,0.14922367896720637
Altercation,days_since_admission,Days since admission,-0.1485953655840862,decreases_risk,0.1485953655840862
Altercation,age_years,Age at index (years),-0.13216635812444122,decreases_risk,0.13216635812444122
Altercation,vital_pulse_mean_90d,Vital (pulse mean 90d),0.13092425171439478,increases_risk,0.13092425171439478
Altercation,vital_o2_sats_min_30d,Vital (o2 sats min 30d),0.12071182399120009,increases_risk,0.12071182399120009
Altercation,vital_o2_sats_mean_30d,Vital (o2 sats mean 30d),0.11758127117074688,increases_risk,0.11758127117074688
Altercation,vital_temperature_max_90d,Vital (temperature max 90d),0.11543825867675535,increases_risk,0.11543825867675535
Altercation,vital_pulse_mean_30d,Vital (pulse mean 30d),0.11374336562364527,increases_risk,0.11374336562364527
Altercation,vital_bp_systolic_diastolic_mean_90d,Vital (bp systolic diastolic mean 90d),0.11195424053656904,increases_risk,0.11195424053656904
Fall,age_years,Age at index (years),0.381048518562915,increases_risk,0.381048518562915
Fall,days_since_admission,Days since admission,-0.30782238147830376,decreases_risk,0.30782238147830376
Fall,vital_temperature_max_30d,Vital (temperature max 30d),0.2697653266242452,increases_risk,0.2697653266242452
Fall,outpatient,Outpatient flag,-0.20469535058243224,decreases_risk,0.20469535058243224
Fall,vital_weight_last_90d,Vital (weight last 90d),0.20166778671396332,increases_risk,0.20166778671396332
Fall,vital_bp_systolic_max_90d,Vital (bp systolic max 90d),0.181650512381542,increases_risk,0.181650512381542
Fall,vital_blood_sugar_count_90d,Vital (blood sugar count 90d),-0.1669523933121831,decreases_risk,0.1669523933121831
Fall,vital_blood_sugar_mean_30d,Vital (blood sugar mean 30d),0.1527053701674998,increases_risk,0.1527053701674998
Fall,vital_pain_level_max_90d,Vital (pain level max 90d),0.151970635069,increases_risk,0.151970635069
Fall,vital_o2_sats_mean_90d,Vital (o2 sats mean 90d),0.14736610779981316,increases_risk,0.14736610779981316
Wound,vital_temperature_max_30d,Vital (temperature max 30d),0.2162692672881016,increases_risk,0.2162692672881016
Wound,vital_o2_sats_min_90d,Vital (o2 sats min 90d),0.2009319158850294,increases_risk,0.2009319158850294
Wound,vital_pulse_mean_90d,Vital (pulse mean 90d),0.15679011530252943,increases_risk,0.15679011530252943
Wound,vital_temperature_count_90d,Vital (temperature count 90d),0.15244983325384218,increases_risk,0.15244983325384218
Wound,vital_o2_sats_mean_90d,Vital (o2 sats mean 90d),0.15162779947900315,increases_risk,0.15162779947900315
Wound,vital_o2_sats_min_30d,Vital (o2 sats min 30d),0.14035069864263966,increases_risk,0.14035069864263966
Wound,vital_temperature_count_30d,Vital (temperature count 30d),0.1364735933825495,increases_risk,0.1364735933825495
Wound,vital_weight_last_90d,Vital (weight last 90d),0.13277116431009747,increases_risk,0.13277116431009747
Wound,vital_weight_last_30d,Vital (weight last 30d),0.13140057340117076,increases_risk,0.13140057340117076
Wound,vital_o2_sats_count_30d,Vital (o2 sats count 30d),-0.1298201336366703,decreases_risk,0.1298201336366703
